,index,ДАТА ВРЕМЯ,КОЛИЧЕСТВО ЗАКАЗОВ
492,18156.0,2018-07-05 02:00:00,35.0
493,18157.0,2018-07-05 02:10:00,19.0
494,18158.0,2018-07-05 02:20:00,22.0
495,18159.0,2018-07-05 02:30:00,14.0
496,18160.0,2018-07-05 02:40:00,16.0
497,18161.0,2018-07-05 02:50:00,10.0
498,18162.0,2018-07-05 03:00:00,12.0
499,18163.0,2018-07-05 03:10:00,18.0
500,18164.0,2018-07-05 03:20:00,33.0
501,18165.0,2018-07-05 03:30:00,30.0
502,18166.0,2018-07-05 03:40:00,24.0
503,18167.0,2018-07-05 03:50:00,12.0
504,18168.0,2018-07-05 04:00:00,13.0
505,18169.0,2018-07-05 04:10:00,9.0
506,18170.0,2018-07-05 04:20:00,10.0
507,18171.0,2018-07-05 04:30:00,18.0
508,18172.0,2018-07-05 04:40:00,14.0
509,18173.0,2018-07-05 04:50:00,25.0
510,18174.0,2018-07-05 05:00:00,22.0
511,18175.0,2018-07-05 05:10:00,11.0
512,18176.0,2018-07-05 05:20:00,10.0
513,18177.0,2018-07-05 05:30:00,7.0
514,18178.0,2018-07-05 05:40:00,
515,18179.0,2018-07-05 05:50:00,6.0
516,18180.0,2018-07-05 06:00:00,3.0
517,18181.0,2018-07-05 06:10:00,3.0
518,18182.0,2018-07-05 06:20:00,1.0
519,18183.0,2018-07-05 06:30:00,2.0
520,18184.0,2018-07-05 06:40:00,0.0
521,18185.0,2018-07-05 06:50:00,2.0
522,18186.0,2018-07-05 07:00:00,2.0
523,18187.0,2018-07-05 07:10:00,5.0
524,18188.0,2018-07-05 07:20:00,1.0
525,18189.0,2018-07-05 07:30:00,7.0
526,18190.0,2018-07-05 07:40:00,3.0
527,18191.0,2018-07-05 07:50:00,13.0
528,18192.0,2018-07-05 08:00:00,15.0
529,18193.0,2018-07-05 08:10:00,14.0
530,18194.0,2018-07-05 08:20:00,12.0
531,18195.0,2018-07-05 08:30:00,12.0
532,18196.0,2018-07-05 08:40:00,9.0
533,18197.0,2018-07-05 08:50:00,7.0
534,18198.0,2018-07-05 09:00:00,14.0
535,18199.0,2018-07-05 09:10:00,18.0
536,18200.0,2018-07-05 09:20:00,13.0
537,18201.0,2018-07-05 09:30:00,14.0
538,18202.0,2018-07-05 09:40:00,21.0
539,18203.0,2018-07-05 09:50:00,28.0
540,18204.0,2018-07-05 10:00:00,20.0
541,18205.0,2018-07-05 10:10:00,13.0
542,18206.0,2018-07-05 10:20:00,12.0
543,18207.0,2018-07-05 10:30:00,12.0
544,18208.0,2018-07-05 10:40:00,15.0
545,18209.0,2018-07-05 10:50:00,19.0
546,18210.0,2018-07-05 11:00:00,24.0
547,18211.0,2018-07-05 11:10:00,
548,18212.0,2018-07-05 11:20:00,14.0
549,18213.0,2018-07-05 11:30:00,15.0
550,18214.0,2018-07-05 11:40:00,14.0
551,18215.0,2018-07-05 11:50:00,21.0
552,18216.0,2018-07-05 12:00:00,24.0
553,18217.0,2018-07-05 12:10:00,17.0
554,18218.0,2018-07-05 12:20:00,19.0
555,18219.0,2018-07-05 12:30:00,10.0
556,18220.0,2018-07-05 12:40:00,11.0
557,18221.0,2018-07-05 12:50:00,21.0
558,18222.0,2018-07-05 13:00:00,14.0
559,18223.0,2018-07-05 13:10:00,5.0
560,18224.0,2018-07-05 13:20:00,8.0
561,18225.0,2018-07-05 13:30:00,12.0
562,18226.0,2018-07-05 13:40:00,8.0
563,18227.0,2018-07-05 13:50:00,23.0
564,18228.0,2018-07-05 14:00:00,11.0
565,18229.0,2018-07-05 14:10:00,15.0
566,18230.0,2018-07-05 14:20:00,7.0
567,18231.0,2018-07-05 14:30:00,12.0
568,18232.0,2018-07-05 14:40:00,15.0
569,18233.0,2018-07-05 14:50:00,9.0
570,18234.0,2018-07-05 15:00:00,16.0
571,18235.0,2018-07-05 15:10:00,13.0
572,18236.0,2018-07-05 15:20:00,12.0
573,18237.0,2018-07-05 15:30:00,14.0
574,18238.0,2018-07-05 15:40:00,13.0
575,18239.0,2018-07-05 15:50:00,21.0
576,18240.0,2018-07-05 16:00:00,30.0
577,18241.0,2018-07-05 16:10:00,25.0
